vendor_name,location,estd,mobile,email,certificates,products,website
Acme Supplies Pvt Ltd,"Mumbai, Maharashtra",2005,+919876543210,procurement@acme.com,ISO 9001;BIS;FSSAI,Steel Rods;Bolts;Nuts,https://www.acme.com
Beta Tech Solutions,"Bengaluru, Karnataka",2012,+918765432109,sales@betatech.in,ISO 27001;CMMI Level 3,IT Consulting;Cloud Migration;DevOps,https://betatech.in
Surya Steel Works Pvt Ltd,"Pune, Maharashtra",1998,+917823456789,info@suryasteel.in,ISO 9001;BIS;ISO 14001,Steel Rods;TMT Bars;MS Plates;GI Pipes,https://suryasteel.in
Eastern Metal Industries,"Jamshedpur, Jharkhand",1992,+916734512890,sales@easternmetal.com,ISO 9001;BIS,Steel Rods;MS Plates;HR Coils;Fasteners,https://easternmetal.com
Solar Shine Energy Pvt Ltd,"Chennai, Tamil Nadu",2015,+919345678012,contact@solarshine.in,ISO 9001;IEC;BIS,Solar Panels;Batteries;LED Lights;Inverters,https://solarshine.in
Green Power Systems,"Hyderabad, Telangana",2010,+918456789123,info@greenpower.in,ISO 9001;ISO 14001;BIS,Solar Panels;Diesel Generators;UPS Systems;Batteries,https://greenpower.in
InfoTech Hub Pvt Ltd,"Noida, Uttar Pradesh",2008,+917567890234,sales@infotechhub.in,ISO 27001;CMMI Level 3;GeM,Laptops;Desktops;Servers;Network Switches,https://infotechhub.in
Digital Bharat Solutions,"Delhi, Delhi",2014,+916678901345,hello@digitalbharat.in,ISO 27001;CMMI Level 5,IT Consulting;Cybersecurity Services;Laptops;Managed IT Support,https://digitalbharat.in
Raj Agro Inputs,"Jaipur, Rajasthan",2003,+919789012456,contact@rajagro.in,MSME;ISO 9001;GeM,Fertilizers;Seeds;Pesticides;Drip Irrigation Systems,https://rajagro.in
Kisan Krishi Seva Ltd,"Lucknow, Uttar Pradesh",2007,+918890123567,info@kisankrishi.in,MSME;ISO 9001,Seeds;Fertilizers;Crop Protection;Soil Testing Kits,https://kisankrishi.in
Patel Construction Materials,"Ahmedabad, Gujarat",1996,+917901234678,sales@patelconstruction.in,ISO 9001;ISO 14001,Cement;Sand;Aggregates;Bricks,https://patelconstruction.in
Krishna Infra Supplies,"Nagpur, Maharashtra",2001,+916912345789,orders@krishnainfra.in,ISO 9001;BIS,Cement;Steel Rods;Construction Chemicals;Fly Ash Blocks,https://krishnainfra.in
